Episode,Kick_Speed,NN_start_speed,CRS_speed,location_of_patch,friction,Rewards,Stop_Distance
0,23.03,23.03,0.0,52.13,0.75,-35.67,25.86
1,8.14,8.14,0.0,59.24,0.39,-35.61,25.85
2,25.68,25.68,0.0,31.48,0.5,-34.83,25.7
3,42.49,42.49,0.0,75.8,0.6,-13.08,15.59
4,14.97,14.97,0.0,58.18,0.42,-36.12,25.95
5,20.13,19.6,0.0,10.96,0.52,-313.88,77.13
6,15.53,15.53,0.0,5.0,0.47,-351.86,84.45
7,20.61,20.61,0.0,24.77,0.55,-36.08,25.94
8,17.81,17.81,0.0,68.49,0.34,-37.27,26.16
9,39.55,39.55,0.0,2.67,0.5,-65.9,35.65
10,32.1,32.1,0.0,72.02,0.61,-29.12,24.57
11,6.69,6.69,0.0,7.0,0.67,-35.76,25.88
12,12.75,12.75,0.0,75.65,0.57,-28.77,24.5
13,10.48,10.48,0.0,14.84,0.77,-36.08,25.94
14,42.78,42.78,0.0,59.62,0.44,-11.02,20.29
15,33.01,33.01,0.0,22.56,0.36,-130.24,53.04
16,42.34,42.34,0.0,31.86,0.49,-39.21,31.6
17,25.56,25.56,0.0,17.58,0.36,-242.4,67.33
18,9.14,9.14,0.0,49.46,0.52,-35.8,25.89
19,15.88,15.45,0.0,80.01,0.6,-35.99,25.92
20,33.71,33.71,0.0,33.76,0.58,-135.84,48.62
21,25.65,25.65,0.0,83.53,0.48,-35.93,25.91
22,10.29,10.29,0.0,50.52,0.57,-35.68,25.86
23,31.75,31.75,0.0,30.0,0.92,-151.01,54.98
24,26.98,26.98,0.0,84.48,0.81,-35.78,25.88
25,28.96,28.96,0.0,84.44,0.41,-34.7,25.68
26,20.73,20.73,0.0,28.19,0.44,-35.87,25.9
27,39.02,39.02,0.0,7.07,0.58,-132.65,48.31
28,30.51,30.51,0.0,75.24,0.71,-30.32,24.81
29,37.41,37.41,0.0,49.8,0.4,-62.12,35.12
30,8.3,8.3,0.0,20.17,0.55,-35.61,25.85
31,38.99,38.99,0.0,80.4,0.44,-47.64,28.01
32,34.86,34.86,0.0,81.92,0.46,-35.39,25.81
33,26.63,26.63,0.0,18.14,0.71,-239.33,67.11
34,20.09,20.09,0.0,95.82,0.83,-35.4,25.81
35,41.16,41.16,0.0,69.22,0.73,-15.96,21.59
36,31.69,31.0,0.0,83.29,0.51,-35.88,25.9
37,33.74,33.74,0.0,47.87,0.4,-84.67,43.1
38,36.94,36.94,0.0,18.94,0.34,-104.2,45.33
39,41.58,41.58,0.0,25.57,0.24,-57.49,34.46
40,35.6,35.6,0.0,54.17,0.54,-82.31,37.84
41,18.88,18.88,0.0,27.12,0.47,-35.61,25.85
42,28.43,28.43,0.0,58.99,0.46,-35.98,25.92
43,18.49,18.49,0.0,40.71,0.76,-35.85,25.9
44,37.98,37.98,0.0,76.74,0.18,-35.68,25.86
45,30.56,29.89,0.0,83.13,0.41,-35.64,25.86
46,17.56,17.56,0.0,34.51,0.59,-36.01,25.93
47,32.13,32.13,0.0,89.77,0.51,-35.77,25.88
48,5.81,5.81,0.0,24.85,0.4,-35.81,25.89
49,25.6,25.6,0.0,29.75,0.51,-154.81,60.42
50,12.58,12.58,0.0,17.35,0.58,-34.58,25.65
51,16.71,16.71,0.0,78.24,0.48,-35.91,25.91
52,37.68,37.68,0.0,60.28,0.43,-59.6,29.94
53,44.56,43.78,10.32,87.82,0.2,-54.09,3.78
54,38.62,38.62,10.32,39.73,0.1,-60.97,34.96
55,7.1,7.1,10.32,32.8,0.52,-35.53,25.84
56,10.29,10.29,10.32,76.84,0.44,-35.65,25.86
57,6.25,6.25,10.32,8.02,0.5,-35.81,25.89
58,14.98,14.98,10.32,30.14,0.48,-36.04,25.93
59,40.21,40.21,10.32,63.0,0.5,-31.16,24.98
60,16.75,16.29,10.32,96.48,0.47,-35.89,25.9
61,25.22,25.22,10.32,81.45,0.55,-35.35,25.8
62,30.47,29.8,10.32,68.41,0.32,-37.03,26.12
63,15.2,15.2,10.32,78.78,0.41,-36.32,25.99
64,19.07,19.07,10.32,81.94,0.36,-36.17,25.96
65,5.64,5.64,10.32,71.71,0.38,-26.48,24.02
66,32.06,32.06,10.32,48.29,0.35,-111.56,46.12
67,39.04,38.3,10.32,7.23,0.55,-59.1,34.69
68,20.16,20.16,10.32,62.66,0.34,-35.75,25.88
69,38.38,38.38,10.32,48.43,0.26,-47.81,32.99
70,15.21,15.21,10.32,65.83,0.66,-35.55,25.84
71,38.22,38.22,10.32,82.23,0.54,-36.35,25.99
72,5.06,4.91,10.32,36.52,0.68,-35.76,25.88
73,31.64,31.64,10.32,34.0,0.6,-127.52,52.78
74,41.63,41.63,10.32,88.55,0.41,-12.71,20.75
75,8.53,8.53,10.32,8.34,0.48,-36.13,25.95
76,34.84,34.84,10.32,1.63,0.12,-195.69,58.84
77,32.75,32.75,10.32,87.65,0.44,-35.91,25.91
78,9.36,9.36,10.32,95.01,0.33,-35.58,25.85
79,18.03,18.03,10.32,13.92,0.57,-36.2,25.96
80,15.89,15.89,10.32,73.7,0.47,-27.72,24.28
81,35.46,35.46,10.32,84.29,0.44,-36.08,25.94
82,11.41,11.41,10.32,2.13,0.56,-35.68,25.86
83,37.12,37.12,10.32,93.15,0.48,-36.08,25.94
84,14.58,14.58,10.32,21.67,0.52,-35.93,25.91
85,34.06,34.06,10.32,56.55,0.47,-36.13,25.95
86,41.99,41.99,10.32,38.12,0.54,-57.45,29.6
87,29.81,29.81,10.32,37.43,0.7,-150.93,54.97
88,30.6,30.6,10.32,14.04,0.29,-159.95,60.86
89,11.26,11.26,10.32,38.07,0.39,-36.03,25.93
90,41.61,40.85,10.32,96.52,0.55,-25.56,18.98
91,44.67,44.67,7.09,2.3,0.47,0,7.88
92,42.9,42.9,7.09,35.86,0.7,-51.25,28.61
93,15.79,15.79,7.09,9.41,0.61,-35.92,25.91
94,7.25,7.25,7.09,59.25,0.47,-35.75,25.88
95,23.36,23.36,7.09,27.6,0.31,-35.85,25.9
96,5.81,5.81,7.09,81.5,0.36,-36.04,25.93
97,24.43,24.43,7.09,24.07,0.58,-248.87,67.8
98,22.45,22.45,7.09,40.53,0.37,-34.86,25.71
99,13.96,13.96,7.09,21.27,0.35,-35.8,25.89
100,12.18,12.18,7.09,90.14,0.46,-35.62,25.85
